Date,Close/Last,Volume,Open,High,Low
03/16/2023,68.35,308897,68.22,69.38,65.71
03/15/2023,67.61,530837,71.56,72.56,65.65
03/14/2023,71.33,410232,74.70,74.90,70.78
03/13/2023,74.80,431915,76.60,77.47,72.30
03/10/2023,76.68,344017,75.65,77.11,74.77
03/09/2023,75.72,323452,76.50,78.06,75.43
03/08/2023,76.66,312187,77.32,77.73,76.11
03/07/2023,77.58,370120,80.50,80.94,77.06
03/06/2023,80.46,279564,79.92,80.63,78.32
03/03/2023,79.68,357286,77.89,79.90,75.83
03/02/2023,78.16,242223,77.74,78.59,77.23
03/01/2023,77.69,321007,76.85,77.85,76.12
02/28/2023,77.05,284234,75.76,77.83,75.55
02/27/2023,75.68,253577,76.42,76.82,74.99
02/24/2023,76.32,313042,75.60,76.63,74.09
02/23/2023,75.39,317687,73.92,75.99,73.83
02/22/2023,73.95,309403,76.11,76.55,73.80
02/21/2023,76.16,20074,76.53,77.51,75.69
02/17/2023,76.34,66661,78.07,78.25,75.06
02/16/2023,78.49,101595,78.54,79.54,77.92
02/15/2023,78.59,240477,78.83,79.15,77.25
02/14/2023,79.06,279792,79.06,79.61,77.46
02/13/2023,80.14,271983,79.94,80.62,78.45
02/10/2023,79.72,316761,77.68,80.33,77.47
02/09/2023,78.06,296432,78.45,78.84,76.52
02/08/2023,78.47,322540,77.49,78.57,77.08
02/07/2023,77.14,369787,74.57,77.60,74.35
02/06/2023,74.11,361642,73.23,74.51,72.25
02/03/2023,73.39,394327,75.92,78.00,73.10
02/02/2023,75.88,318489,76.79,77.24,74.97
02/01/2023,76.41,335699,79.06,79.73,76.05
01/31/2023,78.87,292507,77.91,79.25,76.55
01/30/2023,77.90,308615,80.04,80.49,77.66
01/27/2023,79.68,349036,81.22,82.48,79.04
01/26/2023,81.01,276005,80.48,82.14,79.92
01/25/2023,80.15,284027,80.26,81.23,79.45
01/24/2023,80.13,269259,81.62,82.22,79.66
01/23/2023,81.62,280555,81.79,82.64,81.05
01/20/2023,81.31,13742,80.60,81.64,79.69
01/19/2023,80.33,33183,79.14,81.18,78.13
01/18/2023,79.48,73990,80.97,82.38,78.94
01/17/2023,80.18,284009,80.10,81.23,78.53
01/13/2023,79.86,245935,78.32,80.11,77.97
01/12/2023,78.39,276160,77.70,79.16,77.10
01/11/2023,77.41,320030,74.78,77.84,74.31
01/10/2023,75.12,275105,74.86,75.92,73.84
01/09/2023,74.63,297210,73.47,76.74,73.47
01/06/2023,73.77,236880,73.97,75.47,73.24
01/05/2023,73.67,281301,73.25,74.92,72.46
01/04/2023,72.84,330637,77.25,77.42,72.73
01/03/2023,76.93,322245,80.57,81.50,76.60
12/30/2022,80.26,191002,78.73,80.67,77.71
12/29/2022,78.40,184947,78.82,78.82,76.79
12/28/2022,78.96,194273,79.89,79.92,77.30
12/27/2022,79.53,186518,79.90,81.18,79.16
12/23/2022,79.56,219020,78.18,80.33,77.98
12/22/2022,77.49,199277,78.43,79.90,77.03
12/21/2022,78.29,222936,75.99,78.61,75.80
12/20/2022,76.09,13534,75.70,76.75,74.31
12/19/2022,75.19,37990,74.50,76.41,73.81
12/16/2022,74.29,81668,76.37,76.57,73.33
12/15/2022,76.11,205243,77.37,77.77,75.33
12/14/2022,77.28,267021,75.27,77.75,74.90
12/13/2022,75.39,322478,73.29,76.37,73.21
12/12/2022,73.17,294199,71.79,73.99,70.25
12/09/2022,71.02,324750,71.85,72.92,70.08
12/08/2022,71.46,440898,72.38,75.44,71.12
12/07/2022,72.01,360031,74.55,75.38,71.75
12/06/2022,74.25,359520,77.35,77.88,73.41
12/05/2022,76.93,330679,79.99,82.72,76.77
12/02/2022,79.98,260529,81.47,82.22,79.65
12/01/2022,81.22,298300,80.40,83.34,79.93
11/30/2022,80.55,273153,79.00,81.38,78.40
11/29/2022,78.20,360911,76.54,79.15,77.08
11/28/2022,77.24,388889,75.93,77.84,76.47
11/25/2022,76.28,250830,77.51,79.90,76.22
11/23/2022,77.94,359616,81.08,81.95,76.83
11/22/2022,80.95,251072,80.22,82.36,79.85
11/21/2022,79.73,13130,80.30,80.30,78.12
11/18/2022,80.08,58706,82.09,82.64,77.24
11/17/2022,81.64,112199,85.22,85.45,81.40
11/16/2022,85.59,203794,86.89,87.51,84.20
11/15/2022,86.92,305969,85.25,88.68,84.06
11/14/2022,85.87,283720,89.02,89.84,85.15
11/11/2022,88.96,266963,86.27,90.10,86.18
11/10/2022,86.47,304387,85.85,87.35,84.70
11/09/2022,85.83,346332,88.57,89.24,85.50
11/08/2022,88.91,311272,91.87,89.36,88.52
11/07/2022,91.79,288712,91.00,93.74,90.40
11/04/2022,92.61,328375,87.90,92.69,92.40
11/03/2022,89.35,224728,89.35,88.07,87.87
